vendor_name,legal_entity_name,primary_domain,enterprise_portal_url,tier,last_verified,status
Stripe Inc.,Stripe Inc.,stripe.com,https://portal.stripe.com/contracts/register,Enterprise,2026-01-31,Active
Microsoft Corporation,Microsoft Corporation,microsoft.com,https://vendor.microsoft.com/agreements/register,Enterprise,2026-01-31,Active
Amazon Web Services,Amazon Web Services Inc.,aws.amazon.com,https://aws.amazon.com/legal/vendor-portal/,Enterprise,2026-01-31,Active
Salesforce Inc.,Salesforce Inc.,salesforce.com,https://partners.salesforce.com/agreements/initiate,Enterprise,2026-01-31,Active
Acme Corp,AcmeCorp Inc.,acmecorp.com,https://esign.acme-corp-legal.com/initiate,Enterprise,2025-11-01,Active
Zendesk Inc.,Zendesk Inc.,zendesk.com,https://agreements.zendesk.com/vendor/register,Standard,2026-01-31,Active
HubSpot Inc.,HubSpot Inc.,hubspot.com,https://legal.hubspot.com/vendor-agreements,Standard,2026-01-31,Active
Twilio Inc.,Twilio Inc.,twilio.com,https://agreements.twilio.com/partner-portal,Standard,2025-10-15,Active
Okta Inc.,Okta Inc.,okta.com,https://vendor.okta.com/contracts/register,Enterprise,2026-01-31,Active
Slack Technologies,Slack Technologies LLC,slack.com,https://agreements.slack.com/vendor-registration,Standard,2025-12-01,Active
Databricks Inc.,Databricks Inc.,databricks.com,https://agreements.databricks.com/legal/initiate,Enterprise,2026-01-31,Active
Snowflake Inc.,Snowflake Inc.,snowflake.com,https://partner.snowflake.com/agreements/register,Enterprise,2026-01-31,Active
Datadog Inc.,Datadog Inc.,datadoghq.com,https://vendor.datadoghq.com/agreements/initiate,Standard,2025-11-15,Active
Atlassian Corp,Atlassian Corporation,atlassian.com,https://legal.atlassian.com/vendor-portal,Standard,2026-01-31,Active
