00	surveys	00-ROOT-social-engineering-with-ai-matecas-et-al.md
01	surveys	01-from-chatgpt-to-threatgpt-impact-of-generative-ai-in-cybersecurity-and-privacy.md
02	surveys	02-artificial-intelligence-crime-an-overview-of-malicious-use-and-abuse-of-ai.md
03	human-manipulation	03-towards-automating-social-engineering-using-social-networking-sites.md
04	surveys	04-digital-deception-generative-artificial-intelligence-in-social-engineering-and-p.md
05	defenses-benchmarks	05-gptzero-performance-in-identifying-artificial-intelligence-generated-medical-tex.md
06	human-manipulation	06-decoding-the-threat-landscape-chatgpt-fraudgpt-and-wormgpt-in-social-engineering.md
07	human-manipulation	07-the-potential-effects-of-deepfakes-on-news-media-and-entertainment.md
08	human-manipulation	08-exploring-the-dark-side-of-ai-advanced-phishing-attack-design-and-deployment-usi.md
09	jailbreaking	09-abusegpt-abuse-of-generative-ai-chatbots-to-create-smishing-campaigns.md
10	human-manipulation	10-detection-and-prevention-of-spear-phishing-attacks-a-comprehensive-survey.md
11	human-manipulation	11-exploring-the-potential-implications-of-ai-generated-content-in-social-engineeri.md
12	human-manipulation	12-phishing-and-social-engineering-in-the-age-of-llms.md
13	human-manipulation	13-trust-and-social-engineering-in-human-robot-interaction-will-a-robot-make-you-di.md
14	human-manipulation	14-friend-in-the-middle-attacks-exploiting-social-networking-sites-for-spam.md
15	human-manipulation	15-it-takes-two-to-lie-one-to-lie-and-one-to-listen.md
16	human-manipulation	16-evaluating-ai-generated-emails-a-comparative-efficiency-analysis.md
17	surveys	17-digital-sentinels-and-antagonists-the-dual-nature-of-chatbots-in-cybersecurity.md
18	surveys	18-understanding-major-topics-and-attitudes-toward-deepfakes-an-analysis-of-news-ar.md
19	human-manipulation	19-automated-social-engineering-attacks-using-chatbots-on-professional-social-netwo.md
20	prompt-injection	20-open-source-intelligence-on-the-internet-categorisation-and-evaluation-of-search.md
100	prompt-injection	100-arxiv-2302.12173-not-what-you-ve-signed-up-for-compromising-real-world-llm-integrated-a.md
101	jailbreaking	101-arxiv-2307.15043-universal-and-transferable-adversarial-attacks-on-aligned-language-mod.md
102	prompt-injection	102-arxiv-2211.09527-ignore-previous-prompt-attack-techniques-for-language-models.md
103	prompt-injection	103-arxiv-2306.05499-prompt-injection-attack-against-llm-integrated-applications.md
104	jailbreaking	104-arxiv-2310.03693-jailbroken-how-does-llm-safety-training-fail.md
105	agent-attacks	105-arxiv-2404.02151-agentdojo-a-dynamic-environment-to-evaluate-attacks-and-defenses-for-l.md
106	agent-attacks	106-arxiv-2403.02691-injecagent-benchmarking-indirect-prompt-injections-in-tool-integrated-.md
107	jailbreaking	107-arxiv-2310.08419-jailbreaking-black-box-large-language-models-in-twenty-queries-pair.md
108	defenses-benchmarks	108-arxiv-2402.04249-harmbench-a-standardized-evaluation-framework-for-automated-red-teamin.md
109	jailbreaking	109-arxiv-2307.02483-exploiting-programmatic-behavior-of-llms-dual-use-through-standard-sec.md
110	jailbreaking	110-arxiv-2309.01446-multi-step-jailbreaking-privacy-attacks-on-chatgpt.md
111	jailbreaking	111-arxiv-2404.02101-many-shot-jailbreaking.md
112	jailbreaking	112-arxiv-2310.04451-autodan-generating-stealthy-jailbreak-prompts-on-aligned-llms.md
113	jailbreaking	113-arxiv-2308.03825-do-anything-now-characterizing-and-evaluating-in-the-wild-jailbreak-pr.md
114	training-poisoning-backdoors	114-arxiv-2311.17035-scalable-extraction-of-training-data-from-production-language-models.md
115	agent-attacks	115-arxiv-2310.11987-identifying-the-risks-of-lm-agents-with-an-lm-emulated-sandbox-toolemu.md
116	multimodal-attacks	116-arxiv-2307.02533-visual-adversarial-examples-jailbreak-large-language-models.md
117	defenses-benchmarks	117-arxiv-2402.06363-safedecoding-defending-against-jailbreak-attacks-via-safety-aware-deco.md
118	training-poisoning-backdoors	118-arxiv-2307.16888-open-problems-and-fundamental-limitations-of-reinforcement-learning-fr.md
119	defenses-benchmarks	119-arxiv-2403.04783-badagent-inserting-and-activating-backdoor-attacks-in-llm-agents.md
120	jailbreaking	120-arxiv-2402.05668-comprehensive-assessment-of-jailbreak-attacks-against-llms.md
121	defenses-benchmarks	121-arxiv-2308.07308-jailbreaking-chatgpt-via-prompt-engineering-an-empirical-study.md
122	defenses-benchmarks	122-arxiv-2402.00794-building-guardrails-for-large-language-models.md
123	prompt-injection	123-arxiv-2403.03792-adashield-safeguarding-multimodal-large-language-models-from-structure.md
124	jailbreaking	124-arxiv-2402.10260-a-strongreject-for-empty-jailbreaks.md
125	defenses-benchmarks	125-arxiv-2404.13208-security-of-ai-agents.md
126	prompt-injection	126-arxiv-2403.04957-can-llms-follow-simple-rules-rules.md
127	defenses-benchmarks	127-arxiv-2406.05498-a-survey-on-safety-of-llm-based-agents.md
128	defenses-benchmarks	128-arxiv-2407.15549-tasktracker-are-you-still-on-track-catching-llm-task-drift-with-activa.md
129	defenses-benchmarks	129-arxiv-2309.00614-baseline-defenses-for-adversarial-attacks-against-aligned-language-mod.md
130	defenses-benchmarks	130-arxiv-2310.03684-smoothllm-defending-llms-against-jailbreaking-attacks.md
131	jailbreaking	131-arxiv-2309.10253-gptfuzzer-red-teaming-llms-with-auto-generated-jailbreak-prompts.md
132	jailbreaking	132-arxiv-2310.02446-low-resource-languages-jailbreak-gpt-4.md
133	surveys	133-arxiv-2312.04782-a-survey-on-large-language-model-based-autonomous-agents.md
134	defenses-benchmarks	134-arxiv-2405.07940-pleak-prompt-leaking-attacks-against-large-language-model-applications.md
135	jailbreaking	135-arxiv-2310.12815-attackgen-jailbreak-benchmark.md
136	jailbreaking	136-arxiv-2311.03348-scalable-and-transferable-black-box-jailbreaks.md
137	prompt-injection	137-arxiv-2404.06407-goal-guided-generative-prompt-injection-attack-on-llms.md
138	multimodal-attacks	138-arxiv-2405.18540-are-aligned-neural-networks-adversarially-aligned.md
139	jailbreaking	139-arxiv-2406.18510-wildteaming-at-scale-from-in-the-wild-jailbreaks.md
140	surveys	140-arxiv-2308.11521-use-of-llms-for-illicit-purposes-threats-prevention-mitigations.md
141	jailbreaking	141-arxiv-2402.17840-tree-of-attacks-jailbreaking-black-box-llms-automatically-tap.md
142	agent-attacks	142-arxiv-2409.00137-eia-environmental-injection-attack-on-generalist-web-agents.md
143	training-poisoning-backdoors	143-arxiv-2410.02644-agent-security-bench-asb.md
144	agent-attacks	144-arxiv-2409.11295-jailbreaking-large-language-models-through-alignment-vulnerabilities.md
145	training-poisoning-backdoors	145-arxiv-2311.16119-instructions-as-backdoors-backdoor-vulnerabilities-of-instruction-tuni.md
146	surveys	146-arxiv-2403.10557-adversarial-training-in-llms-a-survey.md
147	prompt-injection	147-arxiv-2404.16873-prompt-injection-attacks-against-image-generators.md
148	jailbreaking	148-arxiv-2406.00045-can-llms-deeply-detect-jailbreaks.md
149	jailbreaking	149-arxiv-2310.13127-an-llm-can-fool-itself-prompt-based-adversarial-attacks.md
150	agent-attacks	150-arxiv-2603.30016-architecting-secure-ai-agents-perspectives-on-system-level-defenses-ag.md
151	prompt-injection	151-arxiv-2602.20720-adaptools-adaptive-tool-based-indirect-prompt-injection-attacks-on-age.md
152	agent-attacks	152-arxiv-2602.09222-muzzle-adaptive-agentic-red-teaming-of-web-agents-against-indirect-pro.md
153	multimodal-attacks	153-arxiv-2512.06589-omnisafebench-mm-a-unified-benchmark-and-toolbox-for-multimodal-jailbr.md
154	agent-attacks	154-arxiv-2508.15310-ipiguard-a-novel-tool-dependency-graph-based-defense-against-indirect-.md
155	agent-attacks	155-arxiv-2503.00061-adaptive-attacks-break-defenses-against-indirect-prompt-injection-atta.md
156	prompt-injection	156-arxiv-2502.05174-melon-provable-defense-against-indirect-prompt-injection-attacks-in-ai.md
157	multimodal-attacks	157-arxiv-2408.09093-bathe-defense-against-the-jailbreak-attack-in-multimodal-large-languag.md
158	agent-attacks	158-arxiv-2604.11790-clawguard-a-runtime-security-framework-for-tool-augmented-llm-agents-a.md
159	training-poisoning-backdoors	159-arxiv-2604.09378-badskill-backdoor-attacks-on-agent-skills-via-model-in-skill-poisoning.md
160	agent-attacks	160-arxiv-2603.23791-the-cognitive-firewall-securing-browser-based-ai-agents-against-indire.md
161	prompt-injection	161-arxiv-2603.10749-attriguard-defeating-indirect-prompt-injection-in-llm-agents-via-causa.md
162	defenses-benchmarks	162-arxiv-2602.20708-icon-indirect-prompt-injection-defense-for-agents-based-on-inference-t.md
163	defenses-benchmarks	163-arxiv-2602.16520-recursive-language-models-for-jailbreak-detection-a-procedural-defense.md
164	multimodal-attacks	164-arxiv-2602.10148-red-teaming-the-multimodal-reasoning-jailbreaking-vision-language-mode.md
165	surveys	165-arxiv-2601.17548-prompt-injection-attacks-on-agentic-coding-assistants-a-systematic-ana.md
166	training-poisoning-backdoors	166-arxiv-2601.05504-memory-poisoning-attack-and-defense-on-memory-based-llm-agents.md
